date,open,high,low,close,dkx,madkx,ma_short,ma_long
2026-02-02 14:45:00,10.08,10.09,10.07,10.08,10.084904761904761,10.097326190476192,10.081999999999999,10.086000000000002
2026-02-02 14:50:00,10.08,10.08,10.05,10.06,10.082111111111113,10.09404365079365,10.076,10.084
2026-02-02 14:55:00,10.07,10.08,10.05,10.07,10.080119047619046,10.091146825396825,10.074000000000002,10.082
2026-02-02 15:00:00,10.06,10.07,10.06,10.06,10.077928571428572,10.088507142857143,10.070000000000002,10.079
2026-02-03 09:35:00,10.06,10.07,9.95,9.97,10.070079365079366,10.085419047619048,10.048,10.065999999999999
2026-02-03 09:40:00,9.97,10.03,9.95,9.97,10.060682539682537,10.081744444444443,10.026,10.054
2026-02-03 09:45:00,9.97,10.03,9.95,10.0,10.05326984126984,10.077630158730159,10.014,10.045
2026-02-03 09:50:00,10.0,10.01,9.96,9.98,10.045674603174604,10.073045238095238,9.996,10.035
2026-02-03 09:55:00,9.97,10.03,9.95,10.02,10.040126984126985,10.06816111111111,9.988,10.029
2026-02-03 10:00:00,10.03,10.03,9.99,9.99,10.035087301587302,10.062998412698413,9.992,10.02
2026-02-03 10:05:00,10.0,10.01,9.96,9.99,10.02909523809524,10.05741746031746,9.996,10.011000000000001
2026-02-03 10:10:00,9.99,10.0,9.97,9.98,10.022793650793652,10.051485714285715,9.992,10.003
2026-02-03 10:15:00,9.97,10.0,9.97,9.98,10.016595238095238,10.045133333333334,9.992,9.994
2026-02-03 10:20:00,9.97,9.99,9.96,9.98,10.010579365079366,10.038398412698413,9.984,9.986
2026-02-03 10:25:00,9.98,9.99,9.96,9.96,10.004309523809525,10.03182142857143,9.978,9.985
2026-02-03 10:30:00,9.97,9.98,9.96,9.96,9.998341269841271,10.025587301587302,9.972000000000001,9.984
2026-02-03 10:35:00,9.97,9.99,9.96,9.98,9.994079365079367,10.019668253968256,9.972,9.982000000000001
2026-02-03 10:40:00,9.97,9.98,9.95,9.96,9.989079365079366,10.01400873015873,9.968,9.98
2026-02-03 10:45:00,9.96,9.97,9.95,9.96,9.984333333333334,10.008429365079367,9.964000000000002,9.974
2026-02-03 10:50:00,9.96,9.97,9.94,9.96,9.980007936507937,10.00292142857143,9.964000000000002,9.971
2026-02-03 10:55:00,9.96,9.97,9.93,9.94,9.975150793650794,9.997526984126985,9.96,9.966
2026-02-03 11:00:00,9.95,9.95,9.94,9.95,9.971087301587302,9.99235634920635,9.954,9.963000000000001
2026-02-03 11:05:00,9.95,9.95,9.94,9.94,9.967103174603174,9.987407142857142,9.95,9.959
2026-02-03 11:10:00,9.94,9.95,9.93,9.94,9.963396825396826,9.98268888888889,9.946,9.955
2026-02-03 11:15:00,9.94,9.94,9.92,9.92,9.959,9.978157936507937,9.937999999999999,9.951
2026-02-03 11:20:00,9.92,9.94,9.91,9.94,9.955420634920635,9.973865873015873,9.937999999999999,9.949
